Name;Data Type;Statistical Method;Effect Measure;Analysis Model;Events 1;Mean 1;SD 1;Total 1;Events 2;Mean 2;SD 2;Total 2;Effect Estimate;SE;CI Start;CI End;Weight;Q;P(Q);I²(Q);Tau²;Z;P(Z);Qint;P(Qint);I²(Qint);df;Year of study
> 3 months to 6 months;CON;IV;Mean Difference;Random;0;;;152;0;;;156;-0.46414925;;-1.70173506;0.77343656;100;32.67342324;0.00000437;84.69704272;1.99645987;0.73507291;0.4622951;;;;5;
Behera 2015;;;;;0;2.5;2;15;0;5.9;1.6;10;-3.4;0.72295689;-4.81696947;-1.98303053;15.82721415;;;;;;;;;;;2015
Krogh 2013;;;;;0;3.84;1.96;20;0;4.06;1.96;20;-0.22;0.61980642;-1.43479826;0.99479826;16.74805612;;;;;;;;;;;
Martin 2019;;;;;0;2.32;1.9;26;0;2.41;1.9;29;-0.09;0.51315584;-1.09576696;0.91576696;17.64357602;;;;;;;;;;;2019
Mishra 2014;;;;;0;-7.1;3.5;56;0;-5.6;3.5;63;-1.5;0.64280203;-2.75986882;-0.24013118;16.54625518;;;;;;;;;;;2014
Montalvan 2015;;;;;0;2.5;1.6;25;0;2.1;1.6;25;0.4;0.45254834;-0.48697845;1.28697845;18.11269797;;;;;;;;;;;2015
Wolf 2011;;;;;0;3;2.3;10;0;1;1;9;2;0.80006944;0.43189271;3.56810729;15.12220056;;;;;;;;;;;2011
> 6 months to 12 months;CON;IV;Mean Difference;Random;0;;;82;0;;;80;-0.78968545;;-2.16786751;0.58849661;100;19.48395315;0.00021711;84.60271395;1.6704179;1.12304106;0.26142008;;;;3;
Behera 2015;;;;;0;1.3;1.4;15;0;4.1;1.2;10;-2.8;0.52408651;-3.82719068;-1.77280932;25.4201737;;;;;;;;;;;2015
Krogh 2013;;;;;0;3.9;1.96;20;0;4.18;1.96;20;-0.28;0.61980642;-1.49479826;0.93479826;24.06547231;;;;;;;;;;;
Martin 2019;;;;;0;2.27;1.9;22;0;2.21;1.9;25;0.06;0.55541958;-1.02860237;1.14860237;24.98568268;;;;;;;;;;;2019
Montalvan 2015;;;;;0;1.7;1.5;25;0;1.8;2.1;25;-0.1;0.51613952;-1.11161486;0.91161486;25.52867131;;;;;;;;;;;2015
Function (DASH,MMCPIE,Roles-Maudsley);CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
upto 3 weeks;CON;IV;Mean Difference;Random;0;;;10;0;;;9;12;;-5.32916812;29.32916812;100;0;0;100;0;1.35722429;0.17470996;;;;0;
Wolf 2011;;;;;0;36;22.3;10;0;24;16;9;12;8.84157477;-5.32916812;29.32916812;100;;;;;;;;;;;2011
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;218;0;;;212;2.20971419;;-0.87092295;5.29035133;100;2.44570924;0.78464827;0;0;1.4058651;0.15976419;;;;5;
Behera 2015;;;;;0;21.7;10.4;15;0;21.7;6;10;0;3.28795783;-6.44427892;6.44427892;22.85243254;;;;;;;;;;;2015
Krogh 2013;;;;;0;46.3;19.2;20;0;43.7;19.2;20;2.6;6.07157311;-9.30006462;14.50006462;6.70166099;;;;;;;;;;;
Martin 2019;;;;;0;36.25;18.2;28;0;31.73;18.2;26;4.52;4.95681349;-5.19517592;14.23517592;10.0549463;;;;;;;;;;;2019
Mishra 2014;;;;;0;42.83;19.2;112;0;40.29;19.2;113;2.54;2.56002528;-2.47755736;7.55755736;37.69609843;;;;;;;;;;;2014
Montalvan 2015;;;;;0;80;15;25;0;80;12.5;25;0;3.90512484;-7.65390404;7.65390404;16.20000201;;;;;;;;;;;2015
Schoffl 2017;;;;;0;40.2;18.2;18;0;30.6;18.8;18;9.6;6.16747742;-2.48803363;21.68803363;6.49485972;;;;;;;;;;;2017
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;221;0;;;202;-1.43717424;;-5.14533572;2.27098724;100;7.59462699;0.26933099;20.99677826;5.16929581;0.75962435;0.44747917;;;;6;
Behera 2015;;;;;0;15.3;9.2;15;0;21.9;5.3;10;-6.6;2.90717503;-12.29795836;-0.90204164;26.27927005;;;;;;;;;;;2015
Krogh 2013;;;;;0;34.9;19.2;20;0;39.5;19.2;20;-4.6;6.07157311;-16.50006462;7.30006462;8.51584308;;;;;;;;;;;
Martin 2019;;;;;0;28.35;18.2;30;0;22.28;18.2;27;6.07;4.82798938;-3.39268531;15.53268531;12.56897189;;;;;;;;;;;2019
Mishra 2014;;;;;0;27.05;19.2;101;0;28.88;19.2;91;-1.83;2.77504775;-7.26899364;3.60899364;27.81225979;;;;;;;;;;;2014
Montalvan 2015;;;;;0;75;17.5;25;0;72.5;17.5;25;2.5;4.94974747;-7.20132677;12.20132677;12.06462579;;;;;;;;;;;2015
Palacio 2016;;;;;0;13;21;20;0;15.5;17.4;20;-2.5;6.09819645;-14.45224542;9.45224542;8.45070358;;;;;;;;;;;2016
Wolf 2011;;;;;0;28;22.4;10;0;20;15.8;9;8;8.82687814;-9.30036326;25.30036326;4.30832582;;;;;;;;;;;2011
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;150;0;;;150;-1.61311314;;-10.22724356;7.00101728;100;24.22871196;0.00019621;79.36332724;88.25795241;0.36702993;0.7135967;;;;5;
Behera 2015;;;;;0;11.2;8.4;15;0;28.6;8;10;-17.4;3.3322665;-23.93112232;-10.86887768;19.44046222;;;;;;;;;;;2015
Martin 2019;;;;;0;20.51;18.2;26;0;19.24;18.2;25;1.27;5.09799961;-8.72189562;11.26189562;16.90751566;;;;;;;;;;;2019
Mishra 2014;;;;;0;16.17;19.2;56;0;21.06;19.2;63;-4.89;3.52622826;-11.80128038;2.02128038;19.18362644;;;;;;;;;;;2014
Montalvan 2015;;;;;0;65;20;25;0;62.5;22.5;25;2.5;6.02079729;-9.30054585;14.30054585;15.51420808;;;;;;;;;;;2015
Schoffl 2017;;;;;0;30.1;20.2;18;0;25.8;22.6;18;4.3;7.14453948;-9.70304008;18.30304008;13.86654017;;;;;;;;;;;2017
Wolf 2011;;;;;0;20;16.3;10;0;10;10.9;9;10;6.30635482;-2.36022832;22.36022832;15.08764742;;;;;;;;;;;2011
>6 months to 12 months;CON;IV;Mean Difference;Random;0;;;65;0;;;59;-6.10941272;;-20.70152141;8.48269598;100;14.01111032;0.00090684;85.72561379;139.54422003;0.8205962;0.41187632;;;;2;
Behera 2015;;;;;0;7.2;6;15;0;25.3;7.5;10;-18.1;2.83284309;-23.65227044;-12.54772956;37.56160559;;;;;;;;;;;2015
Martin 2019;;;;;0;21.64;18.2;25;0;21.76;18.2;24;-0.12;5.20108322;-10.31393579;10.07393579;33.27183076;;;;;;;;;;;2019
Montalvan 2015;;;;;0;57.5;27.5;25;0;55;22.5;25;2.5;7.1063352;-11.42816106;16.42816106;29.16656365;;;;;;;;;;;2015
Treatment success (>25% improvement in pain or function);DIC;MH;Risk Ratio;Fixed;125;;;187;121;;;185;1.02263202;;0.89106561;1.17362429;100;4.84063427;0.18384572;38.02465067;0;0.31850428;0.75010245;0;1;0;3;
>6 weeks to 3 months;DIC;MH;Risk Ratio;Fixed;125;;;187;121;;;185;1.02263202;;0.89106561;1.17362429;100;4.84063427;0.18384572;38.02465067;0;0.31850428;0.75010245;;;;3;
Martin 2019;;;;;17;0;0;30;20;0;0;27;0.765;0.19609477;0.52088909;1.12351172;17.29541921;;;;;;;;;;;2019
Mishra 2014;;;;;84;0;0;112;74;0;0;113;1.14527027;0.08740793;0.96495313;1.35928259;60.52320565;;;;;;;;;;;2014
Montalvan 2015;;;;;6;0;0;25;9;0;0;25;0.66666667;0.44472214;0.27884353;1.59388473;7.39379171;;;;;;;;;;;2015
Palacio 2016;;;;;18;0;0;20;18;0;0;20;1;0.10540926;0.81334627;1.22948864;14.78758343;;;;;;;;;;;2016
Health-related quality of life;CON;IV;Std. Mean Difference;Random;0;;;0;0;;;0;0;;0;0;0;0;0;0;�;0;0;0;0;0;0;
Withdrawals due to AEs;DIC;MH;Risk Ratio;Fixed;1;;;41;3;;;39;0.31707317;;0.03442655;2.92028666;100;0;1;0;0;1.01394162;0.31061062;0;1;0;0;
Total;DIC;MH;Risk Ratio;Fixed;1;;;41;3;;;39;0.31707317;;0.03442655;2.92028666;100;0;1;0;0;1.01394162;0.31061062;;;;0;
Behera 2015;;;;;0;0;0;15;0;0;0;10;0;0;0;0;0;;;;;;;;;;;2015
Krogh 2013;;;;;0;0;0;20;0;0;0;20;0;0;0;0;0;;;;;;;;;;;
Martin 2019;;;;;1;0;0;41;3;0;0;39;0.31707317;1.13282923;0.03442655;2.92028666;100;;;;;;;;;;;2019
Mishra 2014;;;;;0;0;0;112;0;0;0;113;0;0;0;0;0;;;;;;;;;;;2014
Montalvan 2015;;;;;0;0;0;25;0;0;0;25;0;0;0;0;0;;;;;;;;;;;2015
Wolf 2011;;;;;0;0;0;10;0;0;0;9;0;0;0;0;0;;;;;;;;;;;2011
Yerlikaya 2018;;;;;0;0;0;30;0;0;0;30;0;0;0;0;0;;;;;;;;;;;2018
Adverse events;DIC;MH;Risk Ratio;Random;41;;;217;35;;;208;1.14409102;;0.76075128;1.72059424;100;1.94993853;0.74496629;0;0;0.64655226;0.51792177;0;1;0;4;
Total;DIC;MH;Risk Ratio;Random;41;;;217;35;;;208;1.14409102;;0.76075128;1.72059424;100;1.94993853;0.74496629;0;0;0.64655226;0.51792177;;;;4;
Behera 2015;;;;;0;0;0;15;1;0;0;10;0.22916667;1.5853257;0.0102499;5.12369336;1.72469898;;;;;;;;;;;2015
Krogh 2013;;;;;4;0;0;20;3;0;0;20;1.33333333;0.69522179;0.34132247;5.20849912;8.96816438;;;;;;;;;;;
Martin 2019;;;;;6;0;0;41;6;0;0;39;0.95121951;0.53226127;0.3351345;2.69986698;15.30032195;;;;;;;;;;;2019
Mishra 2014;;;;;25;0;0;116;22;0;0;114;1.11677116;0.26088681;0.66972566;1.86222195;63.68630806;;;;;;;;;;;2014
Montalvan 2015;;;;;6;0;0;25;3;0;0;25;2;0.64807407;0.56154989;7.12314269;10.32050663;;;;;;;;;;;2015
PRP or autologous blood versus corticosteroid injection;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pain relief >50%;DIC;MH;Risk Ratio;Fixed;;;;;;;;;;;;;;;;;;;;;;;;
6 weeks;DIC;MH;Risk Ratio;Fixed;3;;;18;18;;;20;0.18518519;;0.06524085;0.52564539;100;0;1;0;0;3.16819197;0.0015339;;;;0;
Ozturan 2010;;;;;3;0;0;18;18;0;0;20;0.18518519;0.53229065;0.06524085;0.52564539;100;;;;;;;;;;;2010
1 year;DIC;MH;Risk Ratio;Fixed;15;;;18;10;;;20;1.66666667;;1.02665871;2.70564867;100;0;1;0;0;2.06639139;0.03879154;;;;0;
Ozturan 2010;;;;;15;0;0;18;10;0;0;20;1.66666667;0.24720662;1.02665871;2.70564867;100;;;;;;;;;;;2010
Mean Pain;CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
upto 3 weeks;CON;IV;Mean Difference;Random;0;;;140;0;;;140;2.06271232;;0.67422888;3.45119576;100;46.95698311;0;91.48156518;2.15456026;2.91169613;0.00359472;;;;4;
Arik 2014;;;;;0;5.3;1.4;40;0;1.7;0.9;40;3.6;0.26315395;3.08422774;4.11577226;22.56771024;;;;;;;;;;;2014
Dojode 2012;;;;;0;7.2;1.9;30;0;4.5;1.9;30;2.7;0.49057789;1.738485;3.661515;20.95263084;;;;;;;;;;;2012
Gautam 2015;;;;;0;4.5;3.8;15;0;2.1;2.7;15;2.4;1.20360569;0.04097619;4.75902381;13.92815568;;;;;;;;;;;2015
Jindal 2013;;;;;0;4.24;1.64;25;0;3.52;1.19;25;0.72;0.40525054;-0.07427646;1.51427646;21.64333261;;;;;;;;;;;2013
Yadav 2015;;;;;0;5.93;1.92;30;0;5;1.92;30;0.93;0.49574187;-0.04163621;1.90163621;20.90817063;;;;;;;;;;;2015
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;314;0;;;313;0.80070751;;0.04526878;1.55614623;100;91.79749291;0;88.01710194;1.4632708;2.07741252;0.0377635;;;;11;
Arik 2014;;;;;0;3.6;1.2;40;0;2.5;1.1;40;1.1;0.25739075;0.59552339;1.60447661;9.71285533;;;;;;;;;;;2014
Dojode 2012;;;;;0;3.2;2.4;30;0;1.5;2.3;30;1.7;0.60690472;0.51048862;2.88951138;8.11093074;;;;;;;;;;;2012
Gautam 2015;;;;;0;2.7;3.0984;15;0;1.4;1.9365;15;1.3;0.94340217;-0.54903428;3.14903428;6.31290116;;;;;;;;;;;2015
Gosens 2011;;;;;0;5.57;2.41;51;0;4.43;2.63;49;1.14;0.50502033;0.15017833;2.12982167;8.64568062;;;;;;;;;;;2011
Jindal 2013;;;;;0;1.52;1.26;25;0;2.28;1.28;25;-0.76;0.35922138;-1.46406097;-0.05593903;9.32984582;;;;;;;;;;;2013
Kazemi 2010;;;;;0;2.7;0.9;30;0;4.5;2.5;30;-1.8;0.48511167;-2.7508014;-0.8491986;8.74601325;;;;;;;;;;;2010
Krogh 2013;;;;;0;2.7;0.98;20;0;1.82;0.98;20;0.88;0.30990321;0.27260087;1.48739913;9.52729517;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;6.95;1.7;30;0;6.35;1.6;30;0.6;0.42622373;-0.23538316;1.43538316;9.03135503;;;;;;;;;;;2015
Omar 2012;;;;;0;3.8;1.9;15;0;4.3;2.1;15;-0.5;0.73120904;-1.93314339;0.93314339;7.4356753;;;;;;;;;;;2012
Ozturan 2010;;;;;0;5.05;1.21;18;0;1.85;1.3;20;3.2;0.40723321;2.40183757;3.99816243;9.11910006;;;;;;;;;;;2010
Wolf 2011;;;;;0;5;3.1;10;0;3;1.8;9;2;1.14934764;-0.25267998;4.25267998;5.33569302;;;;;;;;;;;2011
Yadav 2015;;;;;0;4.6;1.92;30;0;3.4;1.92;30;1.2;0.49574187;0.22836379;2.17163621;8.69265449;;;;;;;;;;;2015
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;274;0;;;273;-1.04210513;;-1.6636016;-0.42060866;100;32.09570837;0.00019168;71.95886784;0.67845336;3.28640405;0.00101475;;;;9;
Arik 2014;;;;;0;2.1;1.1;40;0;3.7;1.9;40;-1.6;0.3471311;-2.28036445;-0.91963555;12.58518853;;;;;;;;;;;2014
Dojode 2012;;;;;0;0.6;1.9;30;0;1.5;1.8;30;-0.9;0.47784237;-1.83655384;0.03655384;11.08858206;;;;;;;;;;;2012
Gautam 2015;;;;;0;1.8;2.3238;15;0;1.7;1.9365;15;0.1;0.78102833;-1.43078739;1.63078739;7.80388179;;;;;;;;;;;2015
Gosens 2011;;;;;0;4.02;2.75;51;0;4.55;2.71;49;-0.53;0.54604387;-1.60022631;0.54022631;10.29572076;;;;;;;;;;;2011
Kazemi 2010;;;;;0;1.5;1.2;30;0;4;2.6;30;-2.5;0.5228129;-3.52469446;-1.47530554;10.56431943;;;;;;;;;;;2010
Krogh 2013;;;;;0;4.3;1.96;20;0;4.18;1.96;20;0.12;0.61980642;-1.09479826;1.33479826;9.46249975;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;4.1;1.5;30;0;6.6;1.6;30;-2.5;0.40041645;-3.28480182;-1.71519818;11.98752763;;;;;;;;;;;2015
Ozturan 2010;;;;;0;2.55;1.54;18;0;3.05;1.46;20;-0.5;0.48819623;-1.45684702;0.45684702;10.96760496;;;;;;;;;;;2010
Wolf 2011;;;;;0;4;2.5;10;0;3;3;9;1;1.27475488;-1.49847365;3.49847365;4.36517571;;;;;;;;;;;2011
Yadav 2015;;;;;0;1.6;1.92;30;0;2.8;1.92;30;-1.2;0.49574187;-2.17163621;-0.22836379;10.87949936;;;;;;;;;;;2015
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;214;0;;;213;-1.55401609;;-2.20514631;-0.90288586;100;17.77751272;0.01301519;60.62441293;0.50351382;4.67773641;0.0000029;;;;7;
Arik 2014;;;;;0;0.6;1.3;40;0;2.7;2.9;40;-2.1;0.50249378;-3.08486971;-1.11513029;14.5985524;;;;;;;;;;;2014
Dojode 2012;;;;;0;0.5;1.9;30;0;1.8;2;30;-1.3;0.50365332;-2.28714237;-0.31285763;14.57605889;;;;;;;;;;;2012
Gautam 2015;;;;;0;1.6;1.9365;15;0;2.9;4.6476;15;-1.3;1.30000559;-3.84796414;1.24796414;5.03148609;;;;;;;;;;;2015
Gosens 2011;;;;;0;3.29;3.08;51;0;5.58;2.41;49;-2.29;0.55185188;-3.37160981;-1.20839019;13.65837314;;;;;;;;;;;2011
Krogh 2013;;;;;0;1.92;1.96;20;0;2.64;1.96;20;-0.72;0.61980642;-1.93479826;0.49479826;12.43329151;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;5.05;2;30;0;7.55;1.7;30;-2.5;0.4792355;-3.43928432;-1.56071568;15.05319299;;;;;;;;;;;2015
Ozturan 2010;;;;;0;2.44;1.37;18;0;4.35;1.34;20;-1.91;0.44051359;-2.77339077;-1.04660923;15.82173829;;;;;;;;;;;2010
Wolf 2011;;;;;0;3;2.3;10;0;2;1.4;9;1;0.86416305;-0.69372846;2.69372846;8.82730669;;;;;;;;;;;2011
>6 months to 1 year;CON;IV;Mean Difference;Random;0;;;89;0;;;89;-1.94556011;;-2.53751106;-1.35360916;100;0.67127687;0.7148816;0;0;6.44179682;0;;;;2;
Gosens 2011;;;;;0;2.59;3.06;51;0;4.88;2.7;49;-2.29;0.57652017;-3.41995878;-1.16004122;27.44392634;;;;;;;;;;;2011
Krogh 2013;;;;;0;3.9;1.96;20;0;5.5;1.96;20;-1.6;0.61980642;-2.81479826;-0.38520174;23.74450495;;;;;;;;;;;
Ozturan 2010;;;;;0;2.33;1.18;18;0;4.25;1.48;20;-1.92;0.43229105;-2.7672749;-1.0727251;48.81156871;;;;;;;;;;;2010
>1 year;CON;IV;Mean Difference;Random;0;;;51;0;;;49;-2.11;;-3.18602751;-1.03397249;100;0;1;0;0;3.84332552;0.00012138;;;;0;
Gosens 2011;;;;;0;2.13;2.81;51;0;4.24;2.68;49;-2.11;0.54900372;-3.18602751;-1.03397249;100;;;;;;;;;;;2011
Function (various scales);CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
upto 3 weeks;CON;IV;Mean Difference;Random;0;;;85;0;;;85;16.45683665;;-4.23271705;37.14639036;100;35.19718138;0.00000002;94.31772681;300.89546159;1.55898999;0.11899875;;;;2;
Arik 2014;;;;;0;51.2;16.3;40;0;19.5;9.7;40;31.7;2.99908319;25.82190495;37.57809505;35.95825061;;;;;;;;;;;2014
Gautam 2015;;;;;0;51.6;26.3;15;0;39.7;25.9;15;11.9;9.5306523;-6.77973526;30.57973526;28.44595814;;;;;;;;;;;2015
Yadav 2015;;;;;0;75.5;13.5;30;0;70.8;13.5;30;4.7;3.48568501;-2.13181708;11.53181708;35.59579125;;;;;;;;;;;2015
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;326;0;;;318;5.39139156;;0.00408356;10.77869957;100;66.23169759;0;83.39163814;67.69611164;1.96144963;0.0498266;;;;11;
Arik 2014;;;;;0;34.3;12.3;40;0;25;11.4;40;9.3;2.65165043;4.10286066;14.49713934;10.11038703;;;;;;;;;;;2014
Branson 2016;;;;;0;13.6;21.5;14;0;36;19.6;14;-22.4;7.77546508;-37.63963151;-7.16036849;5.89542841;;;;;;;;;;;2016
Gautam 2015;;;;;0;38.6;22.076;15;0;32.7;15.8792;15;5.9;7.02139003;-7.86167157;19.66167157;6.45767682;;;;;;;;;;;2015
Gosens 2011;;;;;0;43.1;21.6;51;0;31.2;20.8;49;11.9;4.24000272;3.58974738;20.21025262;8.81860177;;;;;;;;;;;2011
Kazemi 2010;;;;;0;21;10.6;30;0;32.3;17.2;30;-11.3;3.68872155;-18.52976139;-4.07023861;9.29270271;;;;;;;;;;;2010
Krogh 2013;;;;;0;46.3;19.2;20;0;29.2;19.2;20;17.1;6.07157311;5.19993538;29.00006462;7.22572438;;;;;;;;;;;
Lebiedziński 2015;;;;;0;32.2;18.2;53;0;20.6;21.5;46;11.6;4.03716786;3.68729639;19.51270361;8.99486902;;;;;;;;;;;2015
Martínez-Montiel 2015;;;;;0;60.3;7.5;30;0;58.8;7.1;30;1.5;1.88555916;-2.19562804;5.19562804;10.60361019;;;;;;;;;;;2015
Omar 2012;;;;;0;19.9;12.9;15;0;20.2;14;15;-0.3;4.91535011;-9.93390918;9.33390918;8.22500595;;;;;;;;;;;2012
Ozturan 2010;;;;;0;33.8;8;18;0;18.4;7.68;20;15.4;2.55042654;10.40125583;20.39874417;10.18213656;;;;;;;;;;;2010
Wolf 2011;;;;;0;36;22.3;10;0;25;19.5;9;11;9.59056828;-7.79716843;29.79716843;4.73162373;;;;;;;;;;;2011
Yadav 2015;;;;;0;62.5;13.5;30;0;53.1;13.5;30;9.4;3.48568501;2.56818292;16.23181708;9.46223344;;;;;;;;;;;2015
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;278;0;;;277;-9.80259799;;-15.03040864;-4.57478733;100;43.52084557;0.00000401;77.02250526;52.40185728;3.67510231;0.00023775;;;;10;
Arik 2014;;;;;0;19.4;9.1;40;0;34.5;17.5;40;-15.1;3.11873372;-21.21260576;-8.98739424;11.45126979;;;;;;;;;;;2014
Branson 2016;;;;;0;17.8;18.3;14;0;17.9;22.5;14;-0.1;7.7512211;-15.2921142;15.0921142;6.32492708;;;;;;;;;;;2016
Gautam 2015;;;;;0;33.6;19.7522;15;0;34.3;12.7808;15;-0.7;6.07452744;-12.605855;11.205855;7.96679408;;;;;;;;;;;2015
Gosens 2011;;;;;0;21.3;22;51;0;32.3;21.7;49;-11;4.37037711;-19.56578173;-2.43421827;9.95004405;;;;;;;;;;;2011
Kazemi 2010;;;;;0;6.9;12.6;30;0;32.4;19.4;30;-25.5;4.22342673;-33.77776428;-17.22223572;10.12894048;;;;;;;;;;;2010
Krogh 2013;;;;;0;34.9;19.2;20;0;37.3;19.2;20;-2.4;6.07157311;-14.30006462;9.50006462;7.96999662;;;;;;;;;;;
Martínez-Montiel 2015;;;;;0;46.3;5.1;30;0;64.3;8.2;30;-18;1.76304661;-21.45550785;-14.54449215;12.81654004;;;;;;;;;;;2015
Ozturan 2010;;;;;0;19.5;12;18;0;20.6;6.9;20;-1.1;3.22187833;-7.4147655;5.2147655;11.33198261;;;;;;;;;;;2010
Palacio 2016;;;;;0;13;21;20;0;21.8;24.6;20;-8.8;7.23242698;-22.9752964;5.3752964;6.7944757;;;;;;;;;;;2016
Wolf 2011;;;;;0;28;22.4;10;0;28;24.2;9;0;10.73532073;-21.04084199;21.04084199;4.24368004;;;;;;;;;;;2011
Yadav 2015;;;;;0;34.2;13.5;30;0;44.3;13.5;30;-10.1;3.48568501;-16.93181708;-3.26818292;11.02134951;;;;;;;;;;;2015
>3 months to 6 months;CON;IV;Mean Difference;Random;0;;;191;0;;;183;-5.07241593;;-12.66113064;2.51629878;100;45.39202065;0.00000004;86.78181779;82.39409312;1.31007067;0.19017193;;;;6;
Branson 2016;;;;;0;29.4;22.5;14;0;19.2;23.1;14;10.2;8.61833593;-6.69162804;27.09162804;9.56874456;;;;;;;;;;;2016
Gautam 2015;;;;;0;32;17.4284;15;0;39.6;3.873;15;-7.6;4.60976685;-16.63497699;1.43497699;14.46425011;;;;;;;;;;;2015
Gosens 2011;;;;;0;27.8;24.7;51;0;37.6;23.1;49;-9.8;4.78043398;-19.16947843;-0.43052157;14.24400187;;;;;;;;;;;2011
Lebiedziński 2015;;;;;0;14.2;13.4;53;0;14.7;22;46;-0.5;3.72956615;-7.80981533;6.80981533;15.56671741;;;;;;;;;;;2015
Martínez-Montiel 2015;;;;;0;49.4;6.14;30;0;67.7;6.14;30;-18.3;1.58534118;-21.40721162;-15.19278838;17.65609795;;;;;;;;;;;2015
Ozturan 2010;;;;;0;20.7;8.87;18;0;27.1;7.67;20;-6.4;2.70414199;-11.7000209;-1.0999791;16.71153987;;;;;;;;;;;2010
